episode,scal_rew
10,0.5746445269787084
20,0.636337189731457
30,0.5998262981064814
40,0.6173369105147268
50,0.5458533286205306
60,0.5674165556735714
70,0.5921002199850194
80,0.5511122231995242
90,0.578468907685324
100,0.5889806859557059
110,0.6309310167467393
120,0.5454644613469462
130,0.5775121091074855
140,0.5939442567047888
150,0.6022314738251466
160,0.5861879204076119
170,0.5702936987792333
180,0.5823985267468778
190,0.5535967915498599
200,0.5630459050363026
210,0.5935549534741409
220,0.5983921625777182
230,0.6086029337041847
240,0.6266568394770269
250,0.5888967046181403
260,0.615594928728201
270,0.5747449387386752
280,0.5952809623278517
290,0.5835024118324117
300,0.5581757830094919
310,0.5826653836704512
320,0.6199831659754182
330,0.5594657435481056
340,0.5538061816845211
350,0.5859867211794191
360,0.5324090365974282
370,0.5684027788260095
380,0.5776316834858216
390,0.585327033454201
400,0.5730353828312812
410,0.569333763872114
420,0.5316281589739691
430,0.5230024634864565
440,0.5250075187096501
450,0.5578357507707769
460,0.5860158428693605
470,0.5736156227752853
480,0.5871125762775049
490,0.561891661238916
500,0.560694366353462
510,0.5601509803110709
520,0.5715381354359285
530,0.5477106552828681
540,0.5822034121989664
550,0.5638121759379457
560,0.561310575063719
570,0.5723347350876107
580,0.5782988095265582
590,0.5729641177469854
600,0.5511929076765333
610,0.5803785218362956
620,0.5586004989000719
630,0.605929791844865
640,0.5255509518977161
650,0.5690070869166866
660,0.5486262633553184
670,0.5608919734706379
680,0.5452451928221794
690,0.5405437522536631
700,0.5689900071369836
710,0.612698719730485
720,0.5778429977749093
730,0.560085318384693
740,0.53608854786738
750,0.5691354573506374
760,0.5625994816537284
770,0.5253289969562445
780,0.5517495498070967
790,0.5264469545021049
800,0.5840798582013396
810,0.6150315589501285
820,0.5263986971987111
830,0.5495630549660754
840,0.5304306897352282
850,0.5551987093574143
860,0.5620638583624463
870,0.5338356913480307
880,0.5520017890041503
890,0.615890425196601
900,0.5539159111078913
910,0.5456596870505017
920,0.5362439910775286
930,0.5701559673851938
940,0.598460198112505
950,0.5626044249469668
960,0.5767477938336905
970,0.5696925014129717
980,0.510629421499478
990,0.534375888728658
1000,0.5394822242013783
1010,0.6136511888728323
1020,0.5367675186631528
1030,0.6009118089982742
1040,0.5291507027810257
1050,0.5399310824869288
1060,0.5622853338506272
1070,0.5742232746681561
1080,0.5492615179792805
1090,0.5805731941228163
1100,0.5864463716266028
1110,0.5459582878092484
1120,0.565547450093472
1130,0.5374702938356946
1140,0.5536140741057459
1150,0.551685235975816
1160,0.5359779311243701
1170,0.5638540761637676
1180,0.5861883026567437
1190,0.5498601051815466
1200,0.565821211428952
1210,0.578926206355123
1220,0.5569474294924903
1230,0.5612646081025202
1240,0.5454029572481907
1250,0.5711831222727617
1260,0.5551059433540457
1270,0.5923190689130546
1280,0.5428424473651784
1290,0.6071565920379276
1300,0.5011519084709584
1310,0.5541221280993713
1320,0.5233245440829869
1330,0.6085449555247214
1340,0.5884230387405914
1350,0.5754591595780003
1360,0.5679855877030848
1370,0.5869995764888704
1380,0.5839071364464006
1390,0.5623513350795989
1400,0.5356401991820713
1410,0.5603981669206909
1420,0.5515676359355948
1430,0.5642851201471761
1440,0.5816477194325381
1450,0.5885988042841086
1460,0.531810837767814
1470,0.5226360346309329
1480,0.5126497428368387
1490,0.5621722247557244
1500,0.5892279927977425
1510,0.5674426869184688
1520,0.5723051125589864
1530,0.6021220070842427
1540,0.5610151537932662
1550,0.5544023760765194
1560,0.5702302541070065
1570,0.5992963177702124
1580,0.5527166437142094
1590,0.5667854239180292
1600,0.543407649788007
1610,0.5222017710027534
1620,0.5447973693697757
1630,0.5770988187066175
1640,0.5282322016484519
1650,0.5517349274737224
1660,0.5271454000893465
1670,0.5916734637657639
1680,0.5695136420743705
1690,0.5657423576103349
1700,0.554078770185858
1710,0.5460165104631983
1720,0.5505648820178622
1730,0.5413770709128999
1740,0.6030344878395317
1750,0.5786459031756415
1760,0.5686499914060443
1770,0.5586530094116309
1780,0.5310237954430852
1790,0.552203811224406
1800,0.6022473205376592
1810,0.5614296600705786
1820,0.5251407522617304
1830,0.586895426887827
1840,0.5793946913088669
1850,0.559413267866857
1860,0.5413306309462379
1870,0.5478330190289322
1880,0.5492597089677878
1890,0.538960099078518
1900,0.5831919073284213
1910,0.5520189199660767
1920,0.5563262975785275
1930,0.5755542485788003
1940,0.5669255371651365
1950,0.5926997107312939
1960,0.5461057911053041
1970,0.5692338638743305
1980,0.5545345103064943
1990,0.5543863570199711
2000,0.5690898184095512
2010,0.5766335023014225
2020,0.5575728339212204
2030,0.5566093076806231
2040,0.5812571872195903
2050,0.5851312438703998
2060,0.5878467891020465
2070,0.5744964083223306
2080,0.5537483835223247
2090,0.5472908507345926
2100,0.5619560784001638
2110,0.559868894503628
2120,0.5367449634906885
2130,0.6121060014527154
2140,0.5567573251510153
2150,0.5704378580759004
2160,0.5357363097537278
2170,0.5611002946319193
2180,0.5580528183897484
2190,0.5567456824424392
2200,0.5298857750092311
2210,0.5550061657053913
2220,0.5286291814724698
2230,0.5210720137749296
2240,0.5510629309175951
2250,0.5339998262683963
2260,0.5743104683323598
2270,0.5756120228906002
2280,0.6179050684105786
2290,0.5916557566216996
2300,0.5501687769863822
2310,0.5849198482861568
2320,0.5991559131118176
2330,0.5564152497577295
2340,0.5709509742796788
2350,0.5680946285048518
2360,0.5551115668495522
2370,0.5975927942472042
2380,0.5220965948971458
2390,0.5805054205958957
2400,0.5788203465853501
2410,0.6031698649523978
2420,0.5823122100978051
2430,0.6079115500777098
2440,0.5749759993095618
2450,0.5611708367984999
2460,0.5557363704375455
2470,0.5414975931774108
2480,0.5754063460058093
2490,0.5422735161498862
2500,0.5711364956101819
2510,0.5520593163521376
2520,0.5560112072293004
2530,0.5191138749495844
2540,0.578767859672748
2550,0.567595856392004
2560,0.5576070113034538
2570,0.5784190217625496
2580,0.6193225840602469
2590,0.5754514924412119
2600,0.5815443641747297
2610,0.5487289107832878
2620,0.5798850268595348
2630,0.5816475409280277
2640,0.544302290194602
2650,0.563042757658923
2660,0.5286030842625615
2670,0.5771122359948274
2680,0.5825322611314097
2690,0.5368631290751662
2700,0.5589892360381576
2710,0.5785909741010533
2720,0.5896778710982499
2730,0.5545209775976104
2740,0.5526662992503315
2750,0.5814998036288583
2760,0.5624341950137921
2770,0.6184853193293195
2780,0.5966996922864495
2790,0.5240014457351861
2800,0.5463692807269934
2810,0.5677160674251258
2820,0.5488830540590028
2830,0.5769509223391099
2840,0.547853998173775
2850,0.5513978496685927
2860,0.5468200753283521
2870,0.5922346253822187
2880,0.5796306561911442
2890,0.5757220398388727
2900,0.5335724873160416
2910,0.5321161153878986
2920,0.5834649531477526
2930,0.5699599898984821
2940,0.5404770165752766
2950,0.5401838934514865
2960,0.5578052657666392
2970,0.5600947640850121
2980,0.5941532338351129
2990,0.5640095394989164
3000,0.5372679549458699
3010,0.5538743412739036
3020,0.5922890074321999
3030,0.5635606370531038
3040,0.5914565176780356
3050,0.5519770474697205
3060,0.5886254411987737
3070,0.5324585381853486
3080,0.5839119523227183
3090,0.5731534202161694
3100,0.5959523172588308
3110,0.5784438784296926
3120,0.5504266421418462
3130,0.5926755834784724
3140,0.5585816979906012
3150,0.5819503818221164
3160,0.5809527371808437
3170,0.5771617924388176
3180,0.5735575134567733
3190,0.5346198840300734
3200,0.569177317773906
3210,0.5433444892391077
3220,0.5402491244456924
3230,0.5363431967085719
3240,0.5451341673127394
3250,0.5596962914081524
3260,0.6301078568710451
3270,0.5550064116433258
3280,0.5598595365276093
3290,0.5918889621310351
3300,0.5601948410339813
3310,0.5667413604145273
3320,0.5816933307739423
3330,0.5685562854915494
3340,0.5745139261871415
3350,0.5526037874639542
3360,0.5587468507530775
3370,0.5485406166882324
3380,0.5418964466673799
3390,0.5545120916931314
3400,0.5548833437940541
3410,0.5570896664641134
3420,0.5373136283325001
3430,0.5493080724271077
3440,0.5550864266929059
3450,0.5592953297199459
3460,0.5669450837077286
3470,0.5614771208258622
3480,0.569147555415509
3490,0.5511583875354203
3500,0.5998298511556474
3510,0.6046528739429295
3520,0.5606006701916761
3530,0.5713342766949306
3540,0.5760889971368855
3550,0.5554589399983023
3560,0.5700034952214329
3570,0.5531974463583043
3580,0.5768627430774232
3590,0.5344568481935894
3600,0.5533782685133021
3610,0.5301480444309933
3620,0.5490948950989811
3630,0.5669714762654678
3640,0.5684370685365002
3650,0.5635635821915843
